168.234.75.2, 2017-03-11 20:05:41, GET, /default/download/front_notification.image_file.b59e4dd5d9f8a04f.526576697374614469676974616c45637973323031362e6a7067.jpg, HTTP/1.1, 404, 0.466253
168.234.75.2, 2017-03-11 20:05:41, GET, /default/download/magazine.image_file.a8fc1b46edfcdd0b.496e67656e696572696120436f6d6f20756e206d6564696f2e706e67.png, HTTP/1.1, 404, 0.812687
168.234.75.2, 2017-03-11 20:05:42, GET, /cpfecys/admin/GetPeriodosSemestre, HTTP/1.1, 200, 0.879642
168.234.75.2, 2017-03-11 20:05:42, GET, /default/download/magazine.image_file.906bc0cd22e8bbb4.53696e67756c617269646164207465636e6f6c6f676963612e706e67.png, HTTP/1.1, 404, 1.045175
168.234.75.2, 2017-03-11 20:05:43, GET, /default/download/magazine.image_file.a14643879ec4ac07.592074756920706f72717565206e6f207465206861732063616d626961646f20646520636172726572612e706e67.png, HTTP/1.1, 404, 1.409965
168.234.75.2, 2017-03-11 20:05:43, GET, /default/download/magazine.image_file.ba1908d74088daaa.496e64757374726961204469676974616c2e706e67.png, HTTP/1.1, 404, 1.623483
168.234.75.2, 2017-03-11 20:05:43, GET, /cpfecys/admin/GetPeriodosVariables, HTTP/1.1, 200, 1.295330
168.234.75.2, 2017-03-11 21:03:42, GET, /, HTTP/1.1, 200, 0.563452
168.234.75.2, 2017-03-11 21:03:43, GET, /default/download/front_notification.image_file.b59e4dd5d9f8a04f.526576697374614469676974616c45637973323031362e6a7067.jpg, HTTP/1.1, 404, 0.369841
168.234.75.2, 2017-03-11 21:03:43, GET, /default/download/magazine.image_file.a14643879ec4ac07.592074756920706f72717565206e6f207465206861732063616d626961646f20646520636172726572612e706e67.png, HTTP/1.1, 404, 0.395334
168.234.75.2, 2017-03-11 21:03:43, GET, /cpfecys/static/images/home-images/dep-y.png, HTTP/1.1, 404, 0.000599
168.234.75.2, 2017-03-11 21:03:43, GET, /cpfecys/admin/GetPeriodosSemestre, HTTP/1.1, 200, 0.686069
168.234.75.2, 2017-03-11 21:03:44, GET, /default/download/magazine.image_file.ba1908d74088daaa.496e64757374726961204469676974616c2e706e67.png, HTTP/1.1, 404, 1.011528
168.234.75.2, 2017-03-11 21:03:44, GET, /default/download/magazine.image_file.906bc0cd22e8bbb4.53696e67756c617269646164207465636e6f6c6f676963612e706e67.png, HTTP/1.1, 404, 1.202993
168.234.75.2, 2017-03-11 21:03:44, GET, /default/download/magazine.image_file.a8fc1b46edfcdd0b.496e67656e696572696120436f6d6f20756e206d6564696f2e706e67.png, HTTP/1.1, 404, 1.352829
168.234.75.2, 2017-03-11 21:03:45, GET, /cpfecys/admin/GetPeriodosVariables, HTTP/1.1, 200, 1.319531
190.104.119.79, 2017-05-22 04:14:06, GET, /, HTTP/1.1, 200, 0.711476
190.104.119.79, 2017-05-22 04:14:06, GET, /cpfecys/static/intro_js/introjs.css, HTTP/1.1, 200, 0.002668
190.104.119.79, 2017-05-22 04:14:06, GET, /cpfecys/static/css/calendar.css, HTTP/1.1, 200, 0.000970
190.104.119.79, 2017-05-22 04:14:06, GET, /cpfecys/static/css/web2py.css, HTTP/1.1, 200, 0.000567
190.104.119.79, 2017-05-22 04:14:06, GET, /cpfecys/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000562
190.104.119.79, 2017-05-22 04:14:06, GET, /cpfecys/static/css/template.css, HTTP/1.1, 200, 0.000629
190.104.119.79, 2017-05-22 04:14:06, GET, /cpfecys/static/css/bootstrap-toggle.css, HTTP/1.1, 200, 0.000624
190.104.119.79, 2017-05-22 04:14:07, GET, /cpfecys/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000584
190.104.119.79, 2017-05-22 04:14:07, GET, /cpfecys/static/css/ja-sosdmenu.css, HTTP/1.1, 200, 0.000572
190.104.119.79, 2017-05-22 04:14:07, GET, /cpfecys/static/markitup/sets/markmin/style.css, HTTP/1.1, 200, 0.001317
190.104.119.79, 2017-05-22 04:14:07, GET, /cpfecys/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000618
190.104.119.79, 2017-05-22 04:14:07, GET, /cpfecys/static/css/home-style.css, HTTP/1.1, 200, 0.000633
190.104.119.79, 2017-05-22 04:14:07, GET, /cpfecys/static/scripts/general.js, HTTP/1.1, 200, 0.000828
190.104.119.79, 2017-05-22 04:14:07, GET, /cpfecys/static/js/jquery.js, HTTP/1.1, 200, 0.000842
190.104.119.79, 2017-05-22 04:14:07, GET, /cpfecys/static/js/jquery-ui.js, HTTP/1.1, 200, 0.000501
190.104.119.79, 2017-05-22 04:14:07, GET, /cpfecys/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000600
190.104.119.79, 2017-05-22 04:14:07, GET, /cpfecys/static/js/calendar.js, HTTP/1.1, 200, 0.001970
190.104.119.79, 2017-05-22 04:14:07, GET, /cpfecys/static/js/web2py.js, HTTP/1.1, 200, 0.000602
190.104.119.79, 2017-05-22 04:14:07, GET, /cpfecys/static/js/d3/d3.js, HTTP/1.1, 200, 0.000823
190.104.119.79, 2017-05-22 04:14:08, GET, /cpfecys/static/js/Pruebas360.js, HTTP/1.1, 200, 0.000654
190.104.119.79, 2017-05-22 04:14:08, GET, /cpfecys/static/intro_js/intro.js, HTTP/1.1, 200, 0.000591
190.104.119.79, 2017-05-22 04:14:09, GET, /cpfecys/static/js/d3/d3.min.js, HTTP/1.1, 200, 0.000561
190.104.119.79, 2017-05-22 04:14:09, GET, /cpfecys/static/js/RadarChart.js, HTTP/1.1, 200, 0.000569
190.104.119.79, 2017-05-22 04:14:11, GET, /cpfecys/static/markitup/sets/markmin/set.js, HTTP/1.1, 200, 0.000816
190.104.119.79, 2017-05-22 04:14:11, GET, /cpfecys/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000646
190.104.119.79, 2017-05-22 04:14:12, GET, /cpfecys/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000640
190.104.119.79, 2017-05-22 04:14:12, GET, /cpfecys/static/js/bootstrap-toggle.min.js, HTTP/1.1, 200, 0.000405
190.104.119.79, 2017-05-22 04:14:12, GET, /cpfecys/static/js/analytics.min.js, HTTP/1.1, 200, 0.000412
190.104.119.79, 2017-05-22 04:14:12, GET, /cpfecys/static/js/excelise.js, HTTP/1.1, 200, 0.000438
190.104.119.79, 2017-05-22 04:14:12, GET, /cpfecys/static/images/home-images/LogoTricentenaria.png, HTTP/1.1, 200, 0.000365
190.104.119.79, 2017-05-22 04:14:12, GET, /cpfecys/static/images/home-images/LOGO-FIUSAC.png, HTTP/1.1, 200, 0.001545
190.104.119.79, 2017-05-22 04:14:12, GET, /cpfecys/static/images/home-images/sl-4.jpg, HTTP/1.1, 200, 0.000634
190.104.119.79, 2017-05-22 04:14:12, GET, /cpfecys/static/images/home-images/slide-02.jpg, HTTP/1.1, 200, 0.000581
190.104.119.79, 2017-05-22 04:14:13, GET, /default/download/front_notification.image_file.b59e4dd5d9f8a04f.526576697374614469676974616c45637973323031362e6a7067.jpg, HTTP/1.1, 404, 0.382706
190.104.119.79, 2017-05-22 04:14:14, GET, /cpfecys/admin/GetPeriodosSemestre, HTTP/1.1, 200, 0.470387
190.104.119.79, 2017-05-22 04:14:14, GET, /default/download/magazine.image_file.a14643879ec4ac07.592074756920706f72717565206e6f207465206861732063616d626961646f20646520636172726572612e706e67.png, HTTP/1.1, 404, 0.602496
190.104.119.79, 2017-05-22 04:14:14, GET, /cpfecys/static/images/home-images/trans-d40.png, HTTP/1.1, 200, 0.000476
190.104.119.79, 2017-05-22 04:14:14, GET, /cpfecys/static/images/home-images/dep-1.png, HTTP/1.1, 200, 0.000720
190.104.119.79, 2017-05-22 04:14:14, GET, /cpfecys/static/images/home-images/dep-2.png, HTTP/1.1, 200, 0.000384
190.104.119.79, 2017-05-22 04:14:14, GET, /default/download/magazine.image_file.ba1908d74088daaa.496e64757374726961204469676974616c2e706e67.png, HTTP/1.1, 404, 0.678489
190.104.119.79, 2017-05-22 04:14:15, GET, /cpfecys/static/images/home-images/dep-3.png, HTTP/1.1, 200, 0.000553
190.104.119.79, 2017-05-22 04:14:15, GET, /cpfecys/static/images/home-images/dep-y.png, HTTP/1.1, 404, 0.000294
190.104.119.79, 2017-05-22 04:14:15, GET, /cpfecys/static/images/home-images/dep-4.png, HTTP/1.1, 200, 0.000385
190.104.119.79, 2017-05-22 04:14:15, GET, /cpfecys/static/images/home-images/dep-6.png, HTTP/1.1, 200, 0.000560
